OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE
98,20,36,30.27,"1,253.40",296.6,"3,200","1,244.70","1,258.75",50,"20,700.00"
27,14,803,29.38,"1,203.85",293.45,100,"1,196.90","1,216.25",150,"20,750.00"
466,3,93,23.86,"1,139.80",285.2,200,"1,150.40","1,163.95","1,000","20,800.00"
58,56,797,27.19,"1,103.25",358.45,250,"1,098.00","1,116.85",500,"20,850.00"
707,11,172,27.75,"1,059.80",306.55,100,"1,054.25","1,059.40",100,"20,900.00"
51,-,6,24.35,"1,000.15",299.45,200,965.35,"1,052.65","4,400","20,950.00"
"6,620",223,"4,400",25.29,958.25,293.35,50,958,959.95,100,"21,000.00"
40,3,51,23.5,905,294.05,200,872.05,911,200,"21,050.00"
"1,210",-16,355,22.75,856.3,286.75,50,859,862.4,400,"21,100.00"
244,34,134,18.97,794.95,272.35,50,768.4,815.05,100,"21,150.00"
"2,007",-10,"1,796",21.5,760.7,286.25,200,757.2,764.8,100,"21,200.00"
316,-116,478,21.38,716.15,282.95,50,709.35,715.8,250,"21,250.00"
"2,528",-234,"8,188",20.32,666.6,279.5,100,663.45,668,50,"21,300.00"
513,-97,"1,073",19.39,618,272,400,596.6,621.9,400,"21,350.00"
"6,331","-2,213","15,658",18.6,570.5,265.05,200,565.65,572.75,50,"21,400.00"
"1,129",-607,"6,563",17.89,523.9,257.15,50,521.1,525.2,400,"21,450.00"
"9,870","-4,480","1,00,856",16.81,475.1,243.55,"1,000",475.1,477.95,50,"21,500.00"
"3,266",-891,"32,431",16.01,428.7,231.25,400,429.6,432.8,50,"21,550.00"
"16,913","-12,396","2,96,784",15.94,389,222.15,50,386,388.55,500,"21,600.00"
"15,239","-14,406","2,11,928",15.22,345,205.15,400,341.9,345,300,"21,650.00"
"44,383","-24,651","12,32,102",14.6,303,188.4,"2,400",300,302.95,350,"21,700.00"
"26,832","2,127","9,61,566",14.04,262.95,169.65,400,262.95,263.75,50,"21,750.00"
"53,032","2,549","24,97,648",13.7,226.9,152.45,500,224.95,225.4,100,"21,800.00"
"24,480","7,591","17,44,089",12.9,188,129.3,500,188,190,"2,750","21,850.00"
"81,548","21,716","27,34,902",12.59,156.65,111.5,50,156.65,156.75,100,"21,900.00"
"31,884","18,790","13,73,176",12.2,127.2,92.1,900,124,127.4,100,"21,950.00"
"79,081","12,897","24,75,848",11.9,101.65,74.7,50,101.65,103,"9,200","22,000.00"
"25,990","12,670","9,13,949",11.59,79.15,58.9,250,79,81.75,800,"22,050.00"
"70,920","27,953","15,09,258",11.41,61,45.75,"2,450",61,61.65,550,"22,100.00"
"31,230","17,554","8,18,811",11.24,46,34.45,50,46,47.2,"1,000","22,150.00"
"79,563","29,363","14,30,106",11.08,33.8,25.2,"2,600",33,33.8,200,"22,200.00"
"64,767","42,570","8,93,763",10.9,24,17.65,200,23.75,24,150,"22,250.00"
"1,04,839","39,590","14,75,141",10.9,17.5,12.6,600,16.8,17.45,800,"22,300.00"
"29,984","21,002","6,97,254",10.9,12.5,8.6,"1,700",12.05,12.75,800,"22,350.00"
"68,423","21,854","10,99,628",10.98,9.05,5.75,800,9.05,9.2,"1,150","22,400.00"
"25,358","20,096","6,49,541",11.3,7.2,4.45,"1,800",6.15,7.25,"1,850","22,450.00"
"1,18,310","52,762","15,76,683",11.54,5.55,3.15,850,5.55,5.8,"27,300","22,500.00"
"32,957","29,632","4,27,554",12,4.75,2.6,"1,000",4.35,4.75,"2,300","22,550.00"
"79,683","54,556","7,53,481",12.32,3.85,2,750,3.8,3.85,"1,000","22,600.00"
"14,923","11,093","2,23,765",12.78,3.35,1.6,"1,500",3,3.35,50,"22,650.00"
"59,231","45,933","5,88,335",12.79,2.35,0.7,"10,300",2.3,2.35,"1,250","22,700.00"
"17,036","15,988","1,63,927",13.4,2.25,0.65,"1,400",2.2,2.45,50,"22,750.00"
"34,039","22,088","3,51,009",13.65,1.8,0.25,"74,950",1.75,1.8,50,"22,800.00"
"6,934","6,264","53,803",14.21,1.7,0.25,"4,800",1.6,1.7,500,"22,850.00"
"26,691","23,119","1,90,277",14.49,1.4,-0.05,"52,050",1.4,1.5,"2,600","22,900.00"
"4,158","3,471","47,258",14.98,1.3,-0.1,"54,050",1.3,1.5,"1,100","22,950.00"
"69,076","30,216","4,74,611",15.53,1.25,-0.15,"1,56,200",1.25,1.3,"1,10,650","23,000.00"
"12,611","10,072","44,901",15.82,1.05,-0.25,"1,56,100",1,1.1,"31,950","23,050.00"
"49,397","41,959","2,72,463",16.24,0.95,-0.4,"3,08,400",0.9,0.95,"1,29,150","23,100.00"
"1,594","1,135","13,086",16.62,0.85,-0.4,"19,000",0.85,0.9,"11,450","23,150.00"
"14,120","4,473","47,023",17.21,0.85,-0.4,"2,86,700",0.8,0.85,"1,33,950","23,200.00"
"4,593","3,836","25,952",17.67,0.8,-0.45,"1,29,500",0.75,0.8,200,"23,250.00"
"27,100","16,335","1,36,634",18.12,0.75,-0.5,"2,81,450",0.75,0.8,"2,72,300","23,300.00"
"2,422","1,556","14,720",18.69,0.75,-0.45,"1,44,450",0.7,0.75,300,"23,350.00"
"27,659","10,299","91,660",19.12,0.7,-0.5,"2,33,150",0.7,0.75,"2,10,350","23,400.00"
"15,497","6,842","61,534",19.68,0.7,-0.5,"4,88,350",0.65,0.7,"4,450","23,450.00"
